Les complexes sportifs Terrebonne / Cité du Sport,"2485, boul. des Entreprises",Terrebonne
Les complexes sportifs Terrebonne / Forum,"6881, boul. Laurier",Terrebonne
Les complexes sportifs Terrebonne / Multiglace,"1050, rue Nationale",Terrebonne
Patinoire Deux-Montagnes,"2602, boul. des Promenades",Deux-Montagnes
Place Bell,"1950, rue Claude-Gagné",Laval
Sportplex de l'Énergie,"150, rue Jean-Coutu",Varennes
Sportplex de l'Énergie,"150, rue Jean-Coutu",Varennes
Sportplexe Pierrefonds,"14700, boul. de Pierrefonds",Montréal
Sportplexe Pierrefonds,"14700, boul. de Pierrefonds",Montréal
The Legion Rink,"220, ave Bedbrook",Montréal-Ouest
The Legion Rink,"220, ave Bedbrook",Montréal-Ouest
Aréna Stéphane-Richer,"530, rue C-A-Montreuil",Saint-André-Avellin
Centre Meredith,"23, ch. Cecil",Chelsea
Centre Meredith,"23, ch. Cecil",Chelsea
Complexe sportif du Haut-Pontiac,"52, Chemin Pembrooke",L'Isle-Aux-Allumettes (Chapeau)
Complexe sportif La Pêche,"20, Ch. Raphaël",La Pêche
Complexe sportif Robert-Hartley,"600, Higginson",Hawkesbury
Membre honoraire,"55, rue Chouinard",Gatineau
Municipalité de Papineauville,"188, rue Jeanne-D'Arc, bur. 100",Papineauville
Sportium de Val-des-Monts,"5, Chemin du Manoir",Val-des-Monts
Ville de Gatineau - Parcs et infrastructures récréatives,"144, Boul. de l'hôpital, C.P. 1970, succ. Hull",Gatineau
Ville de Gatineau - Section des arénas,"850, Boul. La Gappe, CP 1970, succ Hull",Gatineau
Ville de Gatineau - Section des arénas,"100, Edmonton, CP 1970, succ Hull",Gatineau
Ville de Gatineau - Section des arénas,"850, Boul. La Gappe, CP 1970, succ Hull",Gatineau
"Ville de Maniwaki, Service des loisirs et de la culture","186, rue Principale Sud",Maniwaki
Ville de Thurso,"161, rue Galipeau",Thurso
Complexe Brancahud-Brière,499 Boul. Labrosse,Gatineau
Aréna  Réjean-Lemelin,"1300, rue Pompadour",Québec
Aréna 2 glaces Val-Bélair,"1515, rue Innovation",Val-Bélair
Aréna 76,"920, St-Gérard",Disraeli
Aréna André-Lacroix,"7300, boul. de la Rive-Sud",Lévis
Aréna Bardy,"2280, Monseigneur-Gosselin",Québec
Aréna Bruno-Verret,"981, Route Lagueux",Saint-Étienne
Aréna BSR,"585, rue Aréna",Saint-Nicolas
Aréna Clément-Boulanger,"28, 150 Rue Hodson",St-Gabriel-de-Valcartier
Aréna Clément-Boulanger,"Base forces canadiennes, Édifice 87 B.F.C.",Valcartier
Aréna Côte-de-Beaupré,"10991, rue des Montagnards",Beaupré
Aréna de Beauceville,"116, 125e Rue",Beauceville
Aréna de Black Lake,"4030, rue Lord",Thetford Mines
Aréna de Clermont,"31, rue Larouche",Clermont
Aréna de Lévis,"29, rue Vincent-Chagnon",Lévis
Aréna de Montmagny,"21, avenue Sainte-Brigitte Nord",Montmagny
Aréna de Saint-Côme,"1517, 19e rue",Saint-Côme-Linière
Aréna de Saint-Pamphile,"245, rue St-Pierre",Saint-Pamphile
Aréna de Saint-Ubalde,"400, rue de l'Aréna",Saint-Ubalde
Aréna de St-Charles-de-Bellechasse,"26, rue Commerciale",Saint-Charles-de-Bellechasse
Aréna Duberger,"3050, boul. Central ",Québec
Aréna Gaétan-Duchesne,"2650, d'Alembert",Québec
Aréna J.-É.-Métivier,"80, Route Saint-Gérard",Saint-Damien-de-Buckland
Aréna Jacques-Côté,"2020, rue Narcisse-Roy",Québec
Aréna Lac-Etchemin,"208, 2e Avenue",Lac-Etchemin
Aréna les Galeries de la Capitale,"5401, boulevard des Galeries",Québec
Aréna Luc et Marie-Claude de Baie-Saint-Paul,"11, rue Forget",Baie-Saint-Paul
Aréna Marcel-Dutil,"120, 1re Avenue Sud, C.P. 416",Saint-Gédéon-de-Beauce
Aréna municipal de St-Joseph-de-Beauce,"713, boul. Robert-Cliche",Saint-Joseph-de-Beauce
Aréna Patrick Poulin,"22, RUE Chanoine-Côté",Vanier
Aréna Saint-Édouard-de-Frampton,"107-A, rue Sainte-Anne",Saint-Édouard-de-Frampton
Aréna Saint-Honoré-de-Shenley,"453, rue Ennis C.P. 156",Saint-Honoré-de-Shenley
Aréna Saint-Prosper,"2585, 30e rue",Saint-Prosper de Beauce
Aréna Saint-Raymond,"160, Place de l'Église",Saint-Raymond
Aréna Saint-Romuald,"525, 4e avenue",Saint-Romuald
Aréna St-Éphrem,"80, route 271 Sud C.P. 2037",Saint-Éphrem
Arpidrome,"750, de la Sorbonne",Québec
Auquaréna de Charny,"8001, av. des Églises",Charny
Centre Bombardier,"600, 9e Rue",La Pocatière
Centre Bruno-Berret,"3030, route Lagueux",Lévis
Centre Caztel,"905, route Saint-Martin",Sainte-Marie-de-Beauce
Centre communautaire Michel Labadie,"3705, avenue Chauveau",Québec
Centre des loisirs Desjardins d'East-Broughton,"300, rue Pelletier",East Broughton
Centre Mario-Gosselin,"555, St-Alphonse Nord",Thetford Mines
Centre Municipal St-Isidore Inc.,"130, rue Coulombe",Saint-Isidore
Centre récréatif Chantal-Petitclerc,"1650, boul. Dussault",Saint-Marc-des-Carrières
Centre récréatif de Donnacona,"300, de l'Église",Donnacona
Centre récréatif de Saint-Henri Inc.,"120, rue Belleau",Saint-Henri
Centre récréatif de St-Gilles,"1530, rue de l'Aréna",Saint-Gilles
Centre Récréatif Joé-Juneau,"51, rue du Collège",Pont-Rouge
Centre Rousseau,"390, rue Verreault",Saint-Jean-Port-Joli
Centre Sportif,"6377, rue Garneau C.P. 610",Sainte-Croix
Centre sportif Bellechasse-Dorchester,"39, rue des marianistes",Saint-Anselme
Centre Sportif Claude-Bédard,"146, rue Bisson",Sainte-Justine
Centre sportif Goerges-Henri-Vermette,"1068, avenue Bergeron",Saint-Agapit
Centre sportif La Guadeloupe,"210, 8e rue Ouest, ",La Guadeloupe
Centre Sportif Lacroix Dutil,"11121, 1e avenue Est",Saint-Georges-de-Beauce
Centre sportif Marcel-Bédard,"655, boulevard des Chutes",Québec
Centre sportif Marc-Simonneau,"3500, rue Cambronne",Québec 
Centre sportif Odilon-Grenier,"1, rue Grenier",Saint-Joseph-de-Coleraine
Centre sportif Saint-Pascal,"420, rue Notre-Dame",Saint-Pascal
Colisée de Loretteville,"86, boul. des Étudiants",Québec
Colisée Pepsi,"250, boul. Wilfrid Hamel",Québec
Complexe 2 glaces Honco de Lévis,"275, avenue Taniata",Lévis
Complexe sportif & culturel de Ste-Claire,"160, rue de l'Église",Sainte-Claire
Complexe sportif de Wendake,"100, rue Grand Chef Thonnakona",Wendake
Complexe Sportif Les Trois Glaces,"655, Boul. Pierre-Bertrand",Québec
Complexe sportif Mariette et Joseph Faucher,"47, rue du Parc",Adstock
Complexe sportif Matra,Chemin de la Polyvalente,Saint-Martin
Complexe sportif Multidisciplinaire de L'Ancienne-Lorette,"1311, rue des loisirs Est, suite 100",L'Ancienne-Lorette
Complexe sportif multidisciplinaire de Saint-Augustin-e-Desmaures,"230, route de Fossambault",Saint-Augustin-de-Desmaures
Complexe sportif Trane,"5770, boulevard Sainte-Anne",Boischatel
La Cité/Limoilou,"245, rue du Pont, 1e étage",Québec
Loisirs Lambton Inc.,"213, rue de l'aréna C.P. 2",Lambton
Municipalité de Frampton,"107, rue Sainte-Anne",Frampton
OTJ Saint-Odilon,"109, rue du Centenaire",Saint-Odilon de Cranbourne
Sréan Gilles-Tremblay,"1101, rue Larue",Québec
Stade des Bâtisseurs,"287, rue Marchand",Saint-Victor-de-Beauce
Aréna 3e escadre de Bagotville,C.P. 410,Saguenay (Alouette)
Aréna de Métabetchouan-Lac-à-la-Croix,"87, rue St-André",Métabetchouan–Lac-à-la-Croix
Centre Amishkuisht,"65, Uapakalu",Mashteuiatsh
Centre Mario-Tremblay et centre sportif Mistook,"140, rue Saint-Joseph Sud",Alma
Centre récréatif de Saint-Félicien,"1400, des Sports",Saint-Félicien
Centre sportif Benoît-Levesque,"345, boul. de la jeunesse",Roberval
Centre sportif et communautaire de Chapais,"188, boul. Springer",Chapais
Centre sportif Gaston-Morin,"445, de l'Église",Sainte-Jeanne-d'Arc
Centre sportif Normandin,"975, du Centre Sportif",Normandin
Centre sportif Réjean-Temblay,"251-1, rue Coudé",Saint-David-de-Falardeau
Centre Sportif Saint-Nazaire Proco,"(aréna) 178, rue Principale",Saint-Nazaire
Club sportif de Chambord,"82, rue de la Plaine",Chambord
